"Index","DMM-1 Time (s)","DMM-1 Voltage (V)"
"1","0.0003085","0.298693269"
"2","0.077562","0.29867807"
"3","0.0990059","0.298693835"
"4","0.1224589","0.298830568"
"5","0.1425747","0.299076259"
"6","0.1628757","0.299219518"
"7","0.1831869","0.299525231"
"8","0.2033676","0.299544036"
"9","0.2242071","0.299557238"
"10","0.244486","0.299843847"
"11","0.2657474","0.300219535"
"12","0.33852","0.300395429"
"13","0.380309","0.300323367"
"14","0.422717","0.300253182"
"15","0.4438425","0.300161182"
"16","0.4637395","0.300215095"
"17","0.4842936","0.300385028"
"18","0.504192","0.300428122"
"19","0.5250205","0.300433248"
"20","0.5460448","0.300450474"
"21","0.5663542","0.300437778"
"22","0.5874218","0.300357013"
"23","0.6079902","0.30038619"
"24","0.6290869","0.300358146"
"25","0.6498812","0.300382226"
"26","0.6700372","0.300390452"
"27","0.6904502","0.30016911"
"28","0.7111808","0.299985319"
"29","0.7325329","0.299991607"
"30","0.7537178","0.299636185"
"31","0.774431","0.299595594"
"32","0.795623","0.299591571"
"33","0.8165132","0.29960972"
"34","0.8372107","0.299602091"
"35","0.8570496","0.299605846"
"36","0.8781853","0.299613445"
"37","0.8986073","0.299620181"
"38","0.9196726","0.299607962"
"39","0.9414879","0.299604982"
"40","0.9622424","0.299603641"
"41","0.9830247","0.299583405"
"42","1.0040967","0.299588382"
"43","1.0244744","0.299488693"
"44","1.0456829","0.299260705"
"45","1.0662522","0.299146145"
"46","1.0875315","0.299122154"
"47","1.1080175","0.298955947"
"48","1.1290654","0.298710793"
"49","1.1500115","0.298719018"
"50","1.1709062","0.298672139"
"51","1.1916673","0.298327445"
"52","1.2128716","0.298289567"
"53","1.2335127","0.2982831"
"54","1.2551634","0.298298984"
"55","1.2764604","0.298269212"
"56","1.2976919","0.298039108"
"57","1.3185521","0.297809928"
"58","1.3396763","0.297401517"
"59","1.3604142","0.297155171"
"60","1.3816671","0.29689911"
"61","1.4036793","0.296875774"
"62","1.4252381","0.296881735"
"63","1.4470695","0.296591639"
"64","1.4681387","0.296477586"
"65","1.4895771","0.296310633"
"66","1.5103259","0.296112269"
"67","1.5317076","0.295906454"
"68","1.5530095","0.295632511"
"69","1.5736814","0.295274585"
"70","1.5937889","0.295140594"
"71","1.6147682","0.295193463"
"72","1.6367592","0.294868171"
"73","1.6581491","0.294638544"
"74","1.6787962","0.294359475"
"75","1.6995498","0.29404965"
"76","1.720861","0.293957501"
"77","1.7412071","0.29396966"
"78","1.7624846","0.29389131"
"79","1.7827774","0.293911308"
"80","1.8035066","0.293926775"
"81","1.8239507","0.293704062"
"82","1.8448435","0.293500989"
"83","1.8659654","0.293463796"
"84","1.8871617","0.293294936"
"85","1.9073001","0.293147236"
"86","1.927667","0.293072104"
"87","1.9488552","0.293024659"
"88","1.9700101","0.292658418"
"89","1.9902402","0.292700022"
"90","2.0115862","0.292655438"
"91","2.0332901","0.292690694"
"92","2.0546098","0.292524069"
"93","2.0749033","0.29222396"
"94","2.0951987","0.292200833"
"95","2.1163166","0.291988611"
"96","2.1364947","0.291811734"
"97","2.1581495","0.291707068"
"98","2.1787834","0.291423141"
"99","2.1995773","0.29136762"
"100","2.2215562","0.291364938"
"101","2.241661","0.291223317"
"102","2.2623975","0.291010558"
"103","2.2837008","0.290879398"
"104","2.3048978","0.290852576"
"105","2.3251469","0.290849864"
"106","2.3456833","0.290868282"
"107","2.3666991","0.290882855"
"108","2.3874121","0.290876209"
"109","2.4083547","0.290825217"
"110","2.4294687","0.290883511"
"111","2.4721508","0.291235297"
"112","2.5146901","0.291342496"
"113","2.5358523","0.291330397"
"114","2.5565259","0.291347056"
"115","2.5776487","0.29137209"
"116","2.5978736","0.291318386"
"117","2.6191724","0.291189312"
"118","2.6397104","0.291071265"
"119","2.6608648","0.291015356"
"120","2.6819193","0.290858894"
"121","2.7031308","0.290878325"
"122","2.7248507","0.290876984"
"123","2.744792","0.290872663"
"124","2.7659599","0.290868043"
"125","2.7869224","0.290920913"
"126","2.8084562","0.290906816"
"127","2.82965","0.290789663"
"128","2.8507924","0.290612965"
"129","2.8730012","0.290607303"
"130","2.8936986","0.290543019"
"131","2.9144085","0.290477722"
"132","2.9352552","0.290492027"
"133","2.9560504","0.290493786"
"134","2.9772773","0.290486335"
"135","2.9980946","0.290263414"
"136","3.0189218","0.290032446"
"137","3.0397178","0.290032178"
"138","3.0613143","0.289730578"
"139","3.0822634","0.289524048"
"140","3.1034339","0.289506912"
"141","3.125026","0.289524465"
"142","3.1456885","0.289511203"
"143","3.1664097","0.289285421"
"144","3.1876713","0.289130985"
"145","3.2081723","0.289139598"
"146","3.2298328","0.28901124"
"147","3.2508051","0.289070367"
"148","3.2718261","0.289035797"
"149","3.292589","0.288944125"
"150","3.3140125","0.288731127"
"151","3.3346322","0.28867492"
"152","3.3559249","0.288672953"
"153","3.3770882","0.288669675"
"154","3.3981733","0.288357913"
"155","3.4189583","0.288250714"
"156","3.4395769","0.287986844"
"157","3.460074","0.287811279"
"158","3.4808776","0.287762343"
"159","3.5016209","0.287769079"
"160","3.5224744","0.287752926"
"161","3.5434207","0.287405163"
"162","3.5645064","0.287243813"
"163","3.5843803","0.286953091"
"164","3.6052878","0.286571979"
"165","3.6257341","0.286504179"
"166","3.6469848","0.286455333"
"167","3.6684362","0.286047428"
"168","3.689333","0.285701364"
"169","3.7100989","0.285511195"
"170","3.731172","0.285179704"
"171","3.7519448","0.285207241"
"172","3.7723617","0.285174071"
"173","3.7930945","0.285181194"
"174","3.8143737","0.285181581"
"175","3.8353581","0.28485164"
"176","3.8564656","0.284636974"
"177","3.8778227","0.284394413"
"178","3.8983634","0.283987432"
"179","3.9195572","0.283916443"
"180","3.9397594","0.283492416"
"181","3.9604213","0.283397376"
"182","3.9816031","0.283400803"
"183","4.0018437","0.283449798"
"184","4.0218068","0.283473193"
"185","4.0418187","0.283446967"
"186","4.0631709","0.283458501"
"187","4.0840342","0.283453255"
"188","4.1053279","0.283428698"
"189","4.1259511","0.283424913"
"190","4.1471904","0.283402413"
"191","4.1678444","0.283389776"
"192","4.1895074","0.283402204"
"193","4.2098016","0.283417493"
"194","4.2308021","0.283395737"
"195","4.2520422","0.283405542"
"196","4.2733357","0.28339973"
"197","4.2932726","0.283384263"
"198","4.3138671","0.283413678"
"199","4.334445","0.283454447"
"200","4.3546907","0.283468693"
"201","4.3749944","0.283471524"
"202","4.3961209","0.283460855"
"203","4.4169424","0.283493548"
"204","4.4377089","0.283511221"
"205","4.4583995","0.283473163"
"206","4.4798705","0.283442705"
"207","4.5005235","0.283435314"
"208","4.5208354","0.28342235"
"209","4.5637909","0.283456504"
"210","4.6061246","0.283404231"
"211","4.6269579","0.283389031"
"212","4.6483196","0.283413559"
"213","4.6689678","0.283453941"
"214","4.6902181","0.28341639"
"215","4.7121454","0.283384442"
"216","4.7340475","0.28342086"
"217","4.7548218","0.283484041"
"218","4.7754451","0.28347519"
"219","4.7966958","0.283404797"
"220","4.8182367","0.283441364"
"221","4.8389069","0.283453047"
"222","4.8595547","0.283392101"
"223","4.8800601","0.283176928"
"224","4.9011366","0.282969146"
"225","4.922387","0.282969087"
"226","4.9431373","0.282981902"
"227","4.9643023","0.282998889"
"228","4.9851245","0.282659113"
"229","5.0063841","0.282493531"
"230","5.0272202","0.282527655"
"231","5.0480742","0.282366544"
"232","5.0685331","0.282154053"
"233","5.0895879","0.282137036"
"234","5.1102861","0.282129704"
"235","5.1315008","0.282170563"
"236","5.1524","0.282070845"
"237","5.1729166","0.281765967"
"238","5.1935468","0.281693428"
"239","5.2144469","0.281711101"
"240","5.2352407","0.281693756"
"241","5.2563359","0.281437098"
"242","5.2788759","0.281285166"
"243","5.3018368","0.281276017"
"244","5.322961","0.281194895"
"245","5.3447569","0.280904263"
"246","5.3659846","0.280803114"
"247","5.3866408","0.280787825"
"248","5.4066607","0.280779302"
"249","5.427285","0.280785024"
"250","5.4476648","0.280761927"
"251","5.468776","0.280705839"
"252","5.4900519","0.280447781"
"253","5.5113331","0.280443787"
"254","5.5321801","0.28018555"
"255","5.5534812","0.279960542"
"256","5.573311","0.279946088"
"257","5.5938083","0.27970156"
"258","5.6145634","0.279199928"
"259","5.6357811","0.279156297"
"260","5.6568543","0.279159665"
"261","5.6781008","0.279161214"
"262","5.6989332","0.278778225"
"263","5.7202493","0.278529107"
"264","5.7416233","0.278254032"
"265","5.7636212","0.277891457"
"266","5.7842721","0.277878671"
"267","5.8048667","0.277847915"
"268","5.8256931","0.277548283"
"269","5.8469113","0.277332246"
"270","5.8688057","0.277121901"
"271","5.8900649","0.277096718"
"272","5.9113328","0.276866048"
"273","5.9323567","0.276665359"
"274","5.9536238","0.276669412"
"275","5.9753617","0.27668792"
"276","5.9957051","0.276667803"
"277","6.0158145","0.276633113"
"278","6.0365472","0.276795208"
"279","6.0569358","0.277034401"
"280","6.0782602","0.277089595"
"281","6.0995226","0.277334541"
"282","6.1204883","0.277423232"
"283","6.1409644","0.277768015"
"284","6.1614064","0.277882605"
"285","6.1818854","0.277877897"
"286","6.2033406","0.278290003"
"287","6.222997","0.27845475"
"288","6.2438847","0.278802692"
"289","6.2653089","0.27910459"
"290","6.2874478","0.279138118"
"291","6.30897","0.279177099"
"292","6.3301217","0.279637634"
"293","6.3516941","0.27996844"
"294","6.3728213","0.280197232"
"295","6.3934986","0.280467897"
"296","6.4145428","0.280743777"
"297","6.4353454","0.280848354"
"298","6.4564071","0.280830472"
"299","6.4767476","0.280842423"
"300","6.4979186","0.280828297"
"301","6.5191005","0.280831605"
"302","6.5400155","0.280768096"
"303","6.5608783","0.280802935"
"304","6.5823047","0.280814141"
"305","6.6033497","0.280812203"
"306","6.6473865","0.280810534"
"307","6.6681079","0.280774563"
"308","6.6892673","0.280771195"
"309","6.7103864","0.280789643"
"310","6.7314782","0.280790358"
"311","6.7523183","0.280786573"
"312","6.7726719","0.280770838"
"313","6.7934587","0.280891537"
"314","6.814656","0.280969172"
"315","6.835359","0.281053543"
"316","6.8564605","0.281007826"
"317","6.8778007","0.280962526"
"318","6.8990124","0.280852943"
"319","6.9208789","0.280823856"
"320","6.942177","0.280854016"
"321","6.9632307","0.280837088"
"322","6.9839658","0.280837953"
"323","7.0052121","0.280830323"
"324","7.0260421","0.280851393"
"325","7.0471663","0.280793905"
"326","7.0679439","0.280824899"
"327","7.0887793","0.280823618"
"328","7.108871","0.280455589"
"329","7.1301625","0.280424624"
"330","7.1509857","0.280233561"
"331","7.1719984","0.279935866"
"332","7.1987718","0.279956668"
"333","7.2201053","0.279930919"
"334","7.2402163","0.279938519"
"335","7.2614131","0.279765784"
"336","7.2826896","0.27948606"
"337","7.3037418","0.279483169"
"338","7.3234253","0.279393523"
"339","7.3445176","0.279122561"
"340","7.3651833","0.279052585"
"341","7.3866673","0.279050141"
