obs_wl_air(nm),unc_obs_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""485.26550""","=""0.00010""","=""20601.521""","=""1000""","=""""",,"=""151038.4524""","=""171639.9741""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L7292""",
"=""485.9604""","=""0.0020""","=""20572.06""","=""150""","=""""",,"=""150917.4307""","=""171489.486""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""486.30810""","=""0.00020""","=""20557.353""","=""1000""","=""""",,"=""150315.8612""","=""170873.2327""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L4498""",
"=""486.43729""","=""0.00020""","=""20551.894""","=""300""","=""""",,"=""150772.1118""","=""171324.0107""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
"=""486.55065""","=""0.00020""","=""20547.105""","=""1000""","=""""",,"=""150315.8612""","=""170862.9893""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
"=""486.64760""","=""0.00010""","=""20543.012""","=""800""","=""""",,"=""150315.8612""","=""170858.8729""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""""","=""L7292""",
"=""486.70189""","=""0.00020""","=""20540.721""","=""700""","=""""",,"=""150772.1118""","=""171312.8413""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""""","=""L4498""",
"=""486.82766""","=""0.00020""","=""20535.414""","=""700""","=""""",,"=""150315.8612""","=""170851.3105""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
"=""488.3403""","=""0.0020""","=""20471.81""","=""150""","=""""",,"=""149824.2215""","=""170296.0099""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""488.49170""","=""0.00004""","=""20465.4615""","=""10000""","=""4.15e+05""",C+,"=""149824.2215""","=""170289.6782""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""T6976""","=""L3451""",
