obs_wl_air(nm),unc_obs_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""346.43385""","=""0.00005""","=""28857.275""","=""1000""","=""6.4e+05""",C,"=""134041.8400""","=""162899.1169""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",,"=""T6976""","=""L3451""",
"=""346.65781""","=""0.00005""","=""28838.632""","=""2000""","=""1.25e+06""",C,"=""134818.6405""","=""163657.2726""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""0""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",,"=""T6976""","=""L3451""",
"=""347.25706""","=""0.00005""","=""28788.868""","=""5000""","=""1.69e+06""",C+,"=""134041.8400""","=""162830.7073""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""",,"=""T6976""","=""L3451""",
"=""349.80632""","=""0.00005""","=""28579.071""","=""1000""","=""4.84e+05""",C,"=""134459.2871""","=""163038.3544""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",,"=""T6976""","=""L3451""",
"=""350.12154""","=""0.00005""","=""28553.342""","=""2000""","=""1.20e+06""",C,"=""134459.2871""","=""163012.6247""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",,"=""T6976""","=""L3451""",
"=""351.07207""","=""0.00005""","=""28476.035""","=""500""","=""2.51e+05""",C,"=""134041.8400""","=""162517.8755""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",,"=""T6976""","=""L3451""",
"=""351.51900""","=""0.00005""","=""28439.831""","=""2000""","=""6.7e+05""",C,"=""134459.2871""","=""162899.1169""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",,"=""T6976""","=""L3451""",
"=""352.04714""","=""0.00005""","=""28397.167""","=""10000""","=""7.58e+06""",C+,"=""135888.7173""","=""164285.8872""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""",,"=""T6976""","=""L3451""",
"=""356.29551""","=""0.00005""","=""28058.577""","=""150""","=""""",,"=""134459.2871""","=""162517.8755""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",,"=""""","=""L3451""",
"=""359.35263""","=""0.00005""","=""27819.881""","=""5000""","=""8.87e+05""",C+,"=""135888.7173""","=""163708.6029""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""",,"=""T6976""","=""L3451""",
"=""359.36385""","=""0.00004""","=""27819.012""","=""3000""","=""7.4e+05""",C,"=""135888.7173""","=""163707.7261""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""",,"=""T6976""","=""L5951""",
"=""360.01694""","=""0.00005""","=""27768.548""","=""1000""","=""4.37e+05""",C,"=""135888.7173""","=""163657.2726""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""",,"=""T6976""","=""L3451""",
"=""360.91787""","=""0.00005""","=""27699.234""","=""500""","=""5.0e+04""",D,"=""134818.6405""","=""162517.8755""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""0""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",,"=""T3163""","=""L3451""",
"=""363.36643""","=""0.00005""","=""27512.586""","=""1000""","=""8.2e+05""",C,"=""135888.7173""","=""163401.3061""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""",,"=""T6976""","=""L3451""",
"=""368.22421""","=""0.00005""","=""27149.637""","=""1000""","=""1.35e+05""",C,"=""135888.7173""","=""163038.3544""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""",,"=""T6976""","=""L3451""",
"=""368.57351""","=""0.00005""","=""27123.908""","=""1000""","=""3.96e+05""",C,"=""135888.7173""","=""163012.6247""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""",,"=""T6976""","=""L3451""",
"=""370.12247""","=""0.00005""","=""27010.398""","=""400""","=""2.21e+05""",C,"=""135888.7173""","=""162899.1169""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""",,"=""T6976""","=""L3451""",
"=""375.42148""","=""0.00005""","=""26629.160""","=""500""","=""8.0e+04""",D+,"=""135888.7173""","=""162517.8755""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""",,"=""T3163""","=""L3451""",
"=""376.5819""","=""0.0020""","=""26547.11""","=""50f""","=""""",,"=""135888.7173""","=""162435.6780""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",UT,"=""""","=""L3469""",
"=""376.8047""","=""0.0020""","=""26531.41""","=""50f""","=""""",,"=""135888.7173""","=""162419.9818""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""2""",UT,"=""""","=""L3469""",
"=""376.9449""","=""0.0020""","=""26521.54""","=""70f""","=""""",,"=""135888.7173""","=""162410.1736""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""3""",UT,"=""""","=""L3469""",
"=""376.9654""","=""0.0020""","=""26520.10""","=""50f""","=""""",,"=""135888.7173""","=""162408.6535""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).3d""","=""2[5/2]*""","=""2""",UT,"=""""","=""L3469""",
"=""388.2698""","=""0.0020""","=""25747.99""","=""20f""","=""""",,"=""135888.7173""","=""161636.6175""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""1""",UT,"=""""","=""L3469""",
"=""388.7134""","=""0.0020""","=""25718.61""","=""10f""","=""""",,"=""135888.7173""","=""161607.2609""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""",UT,"=""""","=""L3469""",
"=""388.9427""","=""0.0020""","=""25703.44""","=""50f""","=""""",,"=""135888.7173""","=""161592.1200""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[7/2]*""","=""3""",UT,"=""""","=""L3469""",
"=""389.9723""","=""0.0020""","=""25635.58""","=""20f""","=""""",,"=""135888.7173""","=""161524.1739""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""",UT,"=""""","=""L3469""",
"=""394.3540""","=""0.0020""","=""25350.75""","=""20""","=""""",,"=""148257.7898""","=""173608.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""398.4065""","=""0.0020""","=""25092.90""","=""20""","=""""",,"=""148257.7898""","=""173350.78""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""398.4253""","=""0.0020""","=""25091.71""","=""70""","=""""",,"=""148257.7898""","=""173349.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""399.5298""","=""0.0020""","=""25022.35""","=""10""","=""""",,"=""148257.7898""","=""173280.14""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).13d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""399.5721""","=""0.0020""","=""25019.70""","=""10""","=""""",,"=""148257.7898""","=""173277.59""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).13d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""399.8594""","=""0.0020""","=""25001.72""","=""10""","=""""",,"=""148257.7898""","=""173259.46""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""399.9263""","=""0.0020""","=""24997.54""","=""10""","=""""",,"=""148257.7898""","=""173255.24""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""401.3752""","=""0.0020""","=""24907.30""","=""10""","=""""",,"=""148257.7898""","=""173165.09""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""401.3995""","=""0.0020""","=""24905.80""","=""20""","=""""",,"=""148257.7898""","=""173163.72""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""402.0015""","=""0.0020""","=""24868.50""","=""20""","=""""",,"=""148257.7898""","=""173126.12""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""403.7262""","=""0.0020""","=""24762.27""","=""50""","=""""",,"=""148257.7898""","=""173020.06""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""403.7615""","=""0.0020""","=""24760.10""","=""150""","=""""",,"=""148257.7898""","=""173017.98""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""403.7696""","=""0.0020""","=""24759.60""","=""50""","=""""",,"=""148257.7898""","=""173017.39""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""404.2327""","=""0.0020""","=""24731.24""","=""100""","=""""",,"=""148257.7898""","=""172988.99""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""404.2642""","=""0.0020""","=""24729.31""","=""500""","=""""",,"=""148257.7898""","=""172987.07""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""404.5662""","=""0.0020""","=""24710.85""","=""20""","=""""",,"=""148257.7898""","=""172968.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""406.4036""","=""0.0020""","=""24599.13""","=""500""","=""""",,"=""148257.7898""","=""172857.00""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""406.4829""","=""0.0020""","=""24594.34""","=""150""","=""""",,"=""148257.7898""","=""172852.13""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""406.8835""","=""0.0020""","=""24570.12""","=""300""","=""""",,"=""148257.7898""","=""172827.93""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""406.9243""","=""0.0020""","=""24567.66""","=""300""","=""""",,"=""148257.7898""","=""172825.54""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""406.9389""","=""0.0020""","=""24566.78""","=""50""","=""""",,"=""148257.7898""","=""172824.57""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""407.9359""","=""0.0020""","=""24506.74""","=""20""","=""""",,"=""148257.7898""","=""172764.60""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""408.0148""","=""0.0020""","=""24502.00""","=""500""","=""""",,"=""148257.7898""","=""172759.82""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""411.1882""","=""0.0020""","=""24312.90""","=""10""","=""""",,"=""148257.7898""","=""172570.83""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""411.2100""","=""0.0020""","=""24311.61""","=""150""","=""""",,"=""148257.7898""","=""172569.40""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""411.2694""","=""0.0020""","=""24308.10""","=""200""","=""""",,"=""148257.7898""","=""172565.93""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""""","=""L3469""",
"=""411.2865""","=""0.0020""","=""24307.09""","=""100""","=""""",,"=""148257.7898""","=""172564.88""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""412.6941""","=""0.0020""","=""24224.19""","=""20""","=""""",,"=""148257.7898""","=""172481.8376""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""412.8072""","=""0.0020""","=""24217.55""","=""300""","=""""",,"=""148257.7898""","=""172475.321""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""413.0512""","=""0.0020""","=""24203.25""","=""200""","=""""",,"=""148257.7898""","=""172460.966""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""413.10613""","=""0.00020""","=""24200.028""","=""700""","=""""",,"=""148257.7898""","=""172457.823""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
"=""416.48079""","=""0.00020""","=""24003.944""","=""500""","=""""",,"=""148257.7898""","=""172261.741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
"=""416.6091""","=""0.0020""","=""23996.55""","=""300""","=""""",,"=""148257.7898""","=""172254.295""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""417.3966""","=""0.0020""","=""23951.28""","=""20""","=""""",,"=""148257.7898""","=""172209.15""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""417.43667""","=""0.00020""","=""23948.979""","=""700""","=""""",,"=""148257.7898""","=""172206.770""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
"=""417.52197""","=""0.00020""","=""23944.086""","=""600""","=""""",,"=""148257.7898""","=""172201.878""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
"=""417.5488""","=""0.0020""","=""23942.55""","=""400""","=""""",,"=""148257.7898""","=""172200.33""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""0""",,"=""""","=""L3469""",
"=""419.6415""","=""0.0020""","=""23823.15""","=""150""","=""""",,"=""148257.7898""","=""172080.915""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""419.81018""","=""0.00020""","=""23813.580""","=""700""","=""""",,"=""148257.7898""","=""172071.389""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
"=""420.3270""","=""0.0020""","=""23784.30""","=""20*""","=""""",,"=""149824.2215""","=""173608.54""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""420.3270""","=""0.0020""","=""23784.30""","=""20*""","=""""",,"=""149824.2215""","=""173608.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""420.3270""","=""0.0020""","=""23784.30""","=""20*""","=""""",,"=""149824.2215""","=""173608.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""423.2323""","=""0.0020""","=""23621.03""","=""10""","=""""",,"=""149657.0392""","=""173278.07""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).13d""","=""2[7/2]*""","=""4""",,"=""""","=""L3469""",
"=""424.9538""","=""0.0020""","=""23525.35""","=""20""","=""""",,"=""149824.2215""","=""173349.52""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""425.2418""","=""0.0020""","=""23509.41""","=""20""","=""""",,"=""149657.0392""","=""173166.45""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""425.2775""","=""0.0020""","=""23507.44""","=""20""","=""""",,"=""149657.0392""","=""173164.48""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[7/2]*""","=""4""",,"=""""","=""L3469""",
"=""425.6498""","=""0.0020""","=""23486.88""","=""20*""","=""""",,"=""150121.5922""","=""173608.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""425.6498""","=""0.0020""","=""23486.88""","=""20*""","=""""",,"=""150121.5922""","=""173608.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""425.9739""","=""0.0020""","=""23469.01""","=""10""","=""""",,"=""149657.0392""","=""173126.12""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""426.2479""","=""0.0020""","=""23453.92""","=""20""","=""""",,"=""149824.2215""","=""173278.15""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).13d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""426.7286""","=""0.0020""","=""23427.50""","=""10""","=""""",,"=""148257.7898""","=""171685.289""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""426.7724""","=""0.0020""","=""23425.10""","=""50""","=""""",,"=""148257.7898""","=""171682.914""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""426.80086""","=""0.00020""","=""23423.538""","=""700""","=""""",,"=""148257.7898""","=""171681.348""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
"=""426.97223""","=""0.00020""","=""23414.137""","=""700""","=""""",,"=""148257.7898""","=""171671.928""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L4498""",
"=""427.02252""","=""0.00020""","=""23411.380""","=""500""","=""""",,"=""148257.7898""","=""171669.172""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""",,"=""""","=""L4498""",
"=""427.46617""","=""0.00020""","=""23387.083""","=""500""","=""""",,"=""148257.7898""","=""171644.882""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L4498""",
"=""427.5167""","=""0.0020""","=""23384.32""","=""10""","=""""",,"=""148257.7898""","=""171642.1580""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""427.55590""","=""0.00020""","=""23382.175""","=""700""","=""""",,"=""148257.7898""","=""171639.9741""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L4498""",
"=""427.8850""","=""0.0020""","=""23364.19""","=""50""","=""""",,"=""149657.0392""","=""173021.29""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""427.9279""","=""0.0020""","=""23361.85""","=""150""","=""""",,"=""149657.0392""","=""173018.89""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""4""",,"=""""","=""L3469""",
"=""428.3242""","=""0.0020""","=""23340.23""","=""100""","=""""",,"=""149824.2215""","=""173164.46""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[7/2]*""","=""3""",,"=""""","=""L3469""",
"=""428.8541""","=""0.0020""","=""23311.39""","=""50""","=""""",,"=""149657.0392""","=""172968.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""3""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""428.9799""","=""0.0020""","=""23304.56""","=""20""","=""""",,"=""149824.2215""","=""173128.85""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[5/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
"=""429.1976""","=""0.0020""","=""23292.74""","=""20*""","=""""",,"=""150315.8612""","=""173608.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""2""",,"=""""","=""L3469""",
"=""429.1976""","=""0.0020""","=""23292.74""","=""20*""","=""""",,"=""150315.8612""","=""173608.51""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""2""",,"=""""","=""L3469""",
"=""429.1976""","=""0.0020""","=""23292.74""","=""20*""","=""""",,"=""150315.8612""","=""173608.54""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[5/2]*""","=""3""",,"=""""","=""L3469""",
"=""430.3248""","=""0.0020""","=""23231.73""","=""300""","=""""",,"=""148257.7898""","=""171489.486""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
