"Index","DMM-1 Time (s)","DMM-1 Voltage (V)"
"1","0.0035489","0.77697128"
"2","0.0525676","0.777396142"
"3","0.0731449","0.777767479"
"4","0.0936767","0.777807176"
"5","0.1135953","0.777978897"
"6","0.134755","0.778414487"
"7","0.1552727","0.778802692"
"8","0.1755417","0.779173791"
"9","0.1956594","0.779396295"
"10","0.216173","0.779898405"
"11","0.2370529","0.781642198"
"12","0.3091374","0.782832145"
"13","0.3524389","0.783618927"
"14","0.393578","0.784091591"
"15","0.4147462","0.784638285"
"16","0.4364244","0.785211622"
"17","0.4574216","0.785509347"
"18","0.4780129","0.78616333"
"19","0.498394","0.786488771"
"20","0.5195082","0.787090182"
"21","0.5406253","0.787758171"
"22","0.5606448","0.788311004"
"23","0.5818018","0.789118111"
"24","0.6025333","0.789623737"
"25","0.6236989","0.790469944"
"26","0.6450006","0.790954053"
"27","0.6656675","0.791563749"
"28","0.6868007","0.792343139"
"29","0.7080568","0.79275614"
"30","0.7285755","0.793335735"
"31","0.7483996","0.79389137"
"32","0.7692908","0.793899893"
"33","0.7909998","0.794274449"
"34","0.8116021","0.794646799"
"35","0.8326762","0.795006871"
"36","0.854311","0.795182824"
"37","0.8753585","0.795385897"
"38","0.8957705","0.7957322"
"39","0.9165093","0.796287357"
"40","0.9383694","0.796858966"
"41","0.9589536","0.79696244"
"42","0.9801066","0.797232449"
"43","1.0015057","0.797540783"
"44","1.022691","0.797801911"
"45","1.0432227","0.798126339"
"46","1.0646016","0.79824388"
"47","1.0854273","0.798246383"
"48","1.1060453","0.798520863"
"49","1.1261408","0.799005866"
"50","1.1465862","0.799379587"
"51","1.167371","0.799548745"
"52","1.1877784","0.799561798"
"53","1.2086682","0.799989521"
"54","1.2296561","0.800152838"
"55","1.2507373","0.800491511"
"56","1.271416","0.800772964"
"57","1.2922608","0.80096358"
"58","1.3117841","0.801327466"
"59","1.3322484","0.801325082"
"60","1.3534311","0.801302194"
"61","1.3749846","0.801633596"
"62","1.3958191","0.801967442"
"63","1.4167387","0.802253425"
"64","1.438018","0.802523851"
"65","1.4592553","0.802554905"
"66","1.4797433","0.802874088"
"67","1.5007677","0.803109645"
"68","1.5217604","0.803574621"
"69","1.5430079","0.803950369"
"70","1.564003","0.804050147"
"71","1.5850825","0.804022908"
"72","1.6057126","0.804018616"
"73","1.6272939","0.804381787"
"74","1.6491076","0.804553151"
"75","1.6710088","0.805035769"
"76","1.6925152","0.805681943"
"77","1.7124357","0.805761158"
"78","1.7324821","0.805696606"
"79","1.7539567","0.806075394"
"80","1.7749743","0.806328952"
"81","1.7951707","0.806614279"
"82","1.816283","0.806753337"
"83","1.8373007","0.807027637"
"84","1.8580797","0.807068765"
"85","1.879074","0.807181298"
"86","1.9003991","0.807509422"
"87","1.9209651","0.807867884"
"88","1.9420861","0.808281064"
"89","1.9615806","0.808297336"
"90","1.9827308","0.808334469"
"91","2.0038299","0.808648586"
"92","2.0245332","0.808956503"
"93","2.0446315","0.809101819"
"94","2.0658586","0.809587538"
"95","2.0877377","0.809763371"
"96","2.1088742","0.810032904"
"97","2.128447","0.810104072"
"98","2.1495968","0.810466289"
"99","2.1701439","0.810876369"
"100","2.191744","0.8111611"
"101","2.2120982","0.81136167"
"102","2.2331226","0.811345815"
"103","2.2541399","0.811792969"
"104","2.2749632","0.812210023"
"105","2.2952488","0.812711179"
"106","2.315988","0.813067078"
"107","2.3367185","0.813400506"
"108","2.3579827","0.813902139"
"109","2.3783794","0.814332067"
"110","2.4000398","0.815020859"
"111","2.4415677","0.815796792"
"112","2.4838624","0.816113471"
"113","2.5040368","0.816588997"
"114","2.5252945","0.816973626"
"115","2.5450392","0.81738305"
"116","2.566167","0.817413032"
"117","2.5873462","0.817423939"
"118","2.6081634","0.817760825"
"119","2.6284413","0.818156301"
"120","2.6496197","0.818572163"
"121","2.6706651","0.818727314"
"122","2.6909205","0.818851411"
"123","2.7112851","0.819373726"
"124","2.731899","0.819897711"
"125","2.7528565","0.820107161"
"126","2.7742871","0.820715308"
"127","2.7944874","0.821225047"
"128","2.8155664","0.821695208"
"129","2.8367071","0.821670055"
"130","2.8574417","0.822040021"
"131","2.8809642","0.822451174"
"132","2.9021718","0.822675228"
"133","2.9232019","0.822987616"
"134","2.9444054","0.822966873"
"135","2.9642151","0.82328391"
"136","2.9854185","0.82378906"
"137","3.0065393","0.824138224"
"138","3.0276224","0.824336647"
"139","3.0488223","0.824357867"
"140","3.0699642","0.824580371"
"141","3.0911561","0.824527919"
"142","3.1117","0.824795186"
"143","3.1330106","0.825205445"
"144","3.1545467","0.825272798"
"145","3.1756185","0.825694382"
"146","3.196333","0.825656414"
"147","3.21703","0.826051473"
"148","3.2384448","0.826039016"
"149","3.258938","0.826088607"
"150","3.2792704","0.826214134"
"151","3.3053486","0.826491355"
"152","3.325762","0.826885104"
"153","3.3454539","0.826996326"
"154","3.3664627","0.827314317"
"155","3.3870862","0.827324211"
"156","3.4076576","0.827364146"
"157","3.4290205","0.827751398"
"158","3.4503457","0.827970504"
"159","3.471244","0.828158617"
"160","3.4924116","0.828497886"
"161","3.5121429","0.828749656"
"162","3.5331495","0.829072833"
"163","3.5542824","0.829075157"
"164","3.575151","0.829181134"
"165","3.5964548","0.829430639"
"166","3.6177123","0.829812526"
"167","3.6386196","0.830259084"
"168","3.6595447","0.830363035"
"169","3.6802855","0.830856144"
"170","3.7013805","0.831382334"
"171","3.722075","0.831499099"
"172","3.7430622","0.831832289"
"173","3.7640702","0.832558691"
"174","3.7850707","0.833137333"
"175","3.8064623","0.833417296"
"176","3.8265894","0.833824157"
"177","3.8471553","0.83430922"
"178","3.867738","0.834498167"
"179","3.8882907","0.835021674"
"180","3.9097927","0.835606396"
"181","3.9309731","0.835906505"
"182","3.9527866","0.83671081"
"183","3.9744439","0.837513327"
"184","3.9947216","0.837797522"
"185","4.0153381","0.838640987"
"186","4.0356669","0.839061856"
"187","4.0568859","0.839920997"
"188","4.0765885","0.840589821"
"189","4.0972793","0.841466069"
"190","4.1184633","0.842138051"
"191","4.1396729","0.843109488"
"192","4.1601305","0.843994677"
"193","4.1807286","0.844579696"
"194","4.2015277","0.845423519"
"195","4.2226119","0.846256494"
"196","4.2434343","0.846708238"
"197","4.2641223","0.84744215"
"198","4.2852356","0.847966969"
"199","4.3058586","0.848812699"
