"Index","DMM-1 Time (s)","DMM-1 Voltage (V)"
"1","0.0003238","0.0990648418"
"2","0.0768738","0.099107407"
"3","0.0980818","0.0990570038"
"4","0.1196527","0.0993091836"
"5","0.1405583","0.0994983389"
"6","0.2567515","0.099491477"
"7","0.2774977","0.0994794964"
"8","0.2977798","0.0994845777"
"9","0.3180682","0.0994591116"
"10","0.3382503","0.099441953"
"11","0.3585594","0.0995049476"
"12","0.3790497","0.099510841"
"13","0.3991756","0.099502623"
"14","0.4202472","0.0995139107"
"15","0.4411497","0.0994994416"
"16","0.5136194","0.0994945913"
"17","0.5567871","0.0994848683"
"18","0.5983092","0.0994872897"
"19","0.6186285","0.0994835048"
"20","0.6392763","0.0995004922"
"21","0.6607857","0.0993603989"
"22","0.6823206","0.0991710945"
"23","0.7024204","0.099090062"
"24","0.7219426","0.0990882739"
"25","0.7429991","0.0988633707"
"26","0.7636448","0.0986963137"
"27","0.7842825","0.0986612737"
"28","0.8047753","0.098625347"
"29","0.8261598","0.0986400097"
"30","0.8463258","0.0986324474"
"31","0.8658109","0.0986237972"
"32","0.8868544","0.0986251831"
"33","0.9079688","0.0986428558"
"34","0.9283113","0.0986898988"
"35","0.9495001","0.0986992195"
"36","0.969897","0.0986760482"
"37","0.991071","0.0986691713"
"38","1.0109549","0.0987026318"
"39","1.0318481","0.098679386"
"40","1.0521943","0.0987037643"
"41","1.0738635","0.0986410453"
"42","1.0939325","0.0986120402"
"43","1.114685","0.0990105047"
"44","1.1363536","0.0991005823"
"45","1.1569986","0.0990179553"
"46","1.1772421","0.0987190529"
"47","1.1970301","0.0986584872"
"48","1.2181417","0.0986279994"
"49","1.2389904","0.0982585996"
"50","1.2601221","0.0982047915"
"51","1.2807029","0.0981590822"
"52","1.3022174","0.0977678373"
"53","1.3229245","0.0977826267"
"54","1.3436629","0.0977915078"
"55","1.364388","0.0977881923"
"56","1.3855851","0.0973937436"
"57","1.4062517","0.0972838252"
"58","1.427417","0.0972452536"
"59","1.4480918","0.0972853526"
"60","1.4687429","0.0972609296"
"61","1.4901112","0.0973053723"
"62","1.5106337","0.0973561108"
"63","1.5314017","0.0973692834"
"64","1.5522838","0.097253032"
"65","1.5730722","0.097165361"
"66","1.5935853","0.0971449241"
"67","1.6141024","0.0971241891"
"68","1.63481","0.0971058085"
"69","1.6561568","0.0969620868"
"70","1.676786","0.0968829318"
"71","1.6971812","0.0968750491"
"72","1.7190288","0.0968007072"
"73","1.7402392","0.0964220687"
"74","1.7605732","0.0964265838"
"75","1.7820577","0.0964276194"
"76","1.8026512","0.0964561402"
"77","1.8231093","0.0964839085"
"78","1.8431976","0.0964948832"
"79","1.8641935","0.0964892208"
"80","1.8869499","0.0964383035"
"81","1.9082096","0.0965121686"
"82","1.9285477","0.096924059"
"83","1.9494478","0.0971131548"
"84","1.9708229","0.0970546826"
"85","1.9917386","0.0971768423"
"86","2.0118069","0.0972983017"
"87","2.0332988","0.0973310768"
"88","2.0539407","0.0972894132"
"89","2.0746968","0.0972591117"
"90","2.0949769","0.0975975766"
"91","2.1154778","0.0977789238"
"92","2.1363528","0.0977813452"
"93","2.157094","0.0977640673"
"94","2.1776715","0.0977507904"
"95","2.1991716","0.0982083231"
"96","2.2203993","0.0984484702"
