obs_wl_air(nm),wn(cm-1),intens
454.03801,22018.4145,500
454.4502,21998.44,500
454.5729,21992.51,10
454.7218,21985.30,100
454.7728,21982.84,150
455.0640,21968.77,10
455.25980,21959.324,300
455.4415,21950.56,100
455.4561,21949.86,50
455.4824,21948.59,400
455.5392,21945.86,300
455.6698,21939.57,20
456.2449,21911.91,10
456.58880,21895.408,600
456.6830,21890.89,400
456.7139,21889.41,150
456.7845,21886.03,100
457.30609,21861.065,50
457.3557,21858.69,500
457.3898,21857.06,300
457.50620,21851.5035,3000
457.5858,21847.70,200
458.20350,21818.250,1500
458.2105,21817.92,150
458.24521,21816.2642,1500
458.2556,21815.77,150
458.2980,21813.75,50
458.5876,21799.98,100
458.6145,21798.70,20
459.3243,21765.01,500
459.5249,21755.51,500
460.4095,21713.71,150
460.4680,21710.95,10
460.4938,21709.74,50
460.9365,21688.89,300
460.99100,21686.323,1500
461.43910,21665.263,1000
461.6911,21653.44,50
461.78370,21649.096,700
462.7799,21602.49,20
462.83113,21600.1032,1500
462.8460,21599.41,300
463.61250,21563.699,700
463.66362,21561.322,700
463.6974,21559.75,500
463.9591,21547.59,300
464.0443,21543.63,700
464.3182,21530.93,50
464.3931,21527.45,20
464.4833,21523.27,400
464.54180,21520.5623,3000
464.5885,21518.40,10
464.99040,21499.801,700
465.2101,21489.65,300
465.3699,21482.27,500
465.63936,21469.8368,3000
466.11054,21448.1338,1500
466.3092,21439.00,400
466.3518,21437.04,200
466.6654,21422.63,500
466.73643,21419.372,1000
467.08840,21403.232,700
467.82180,21369.679,3000
467.86107,21367.886,500
467.91350,21365.491,1500
468.03670,21359.867,1000
468.1200,21356.07,500
468.1930,21352.74,200
468.2146,21351.75,200
468.2910,21348.27,100
468.3238,21346.77,50
468.3764,21344.38,300
468.76710,21326.587,1000
468.8191,21324.22,20
469.1580,21308.82,150
469.5363,21291.65,200
469.6943,21284.49,50
470.0469,21268.52,50
470.25305,21259.198,1500
470.43949,21250.7726,15000
470.88594,21230.625,12000
471.00650,21225.191,10000
471.04881,21223.284,300
471.20633,21216.190,15000
471.21406,21215.842,150*
471.21406,21215.842,150*
471.2800,21212.87,100
471.43397,21205.945,700
471.51248,21202.414,300
471.52580,21201.815,300
471.53440,21201.429,15000
471.76085,21191.252,700
472.15337,21173.635,700
472.2150,21170.87,50
472.2714,21168.34,150
472.3810,21163.43,700*
472.3810,21163.43,700*
472.4162,21161.86,50
472.51450,21157.453,700
474.95754,21048.6269,3000
475.06826,21043.721,300
475.1802,21038.76,300
475.27320,21034.6474,5000
475.3123,21032.92,10
475.4440,21027.09,1000
475.87280,21008.144,1500
478.03380,20913.176,3000
478.0884,20910.79,300
478.1239,20909.24,20
478.4022,20897.07,20
478.89258,20875.674,10000
478.95982,20872.743,1000
479.02195,20870.036,5000
479.0728,20867.82,300
480.01110,20827.030,150
480.1076,20822.84,20
480.2363,20817.26,100
480.3225,20813.53,10
480.9500,20786.37,100
481.00640,20783.9353,1500
481.06392,20781.450,1000
481.4338,20765.48,500
481.6900,20754.44,10
481.76386,20751.2579,3000
481.87847,20746.323,1500
481.9937,20741.36,700
482.19218,20732.825,3000
482.31725,20727.449,1000
482.3370,20726.60,500
482.5529,20717.33,500
482.73380,20709.564,10000
482.75870,20708.496,3000
482.9288,20701.20,50
483.73139,20666.8554,5000
484.2566,20644.44,100
484.2941,20642.84,500
484.5145,20633.45,150
484.5767,20630.80,50
484.9530,20614.80,300
485.1501,20606.42,600
485.26550,20601.521,1000
485.9604,20572.06,150
486.30810,20557.353,1000
486.43729,20551.894,300
486.55065,20547.105,1000
486.64760,20543.012,800
486.70189,20540.721,700
486.82766,20535.414,700
488.3403,20471.81,150
488.49170,20465.4615,10000
488.50971,20464.707,1000
488.8365,20451.03,50
489.20900,20435.455,5000
489.2228,20434.88,100
489.7924,20411.11,700
489.9013,20406.58,500
492.82350,20285.577,700
493.0944,20274.43,500
493.90410,20241.196,1000
494.49870,20216.857,1000
495.53905,20174.414,1500
495.70335,20167.7275,10000
495.71220,20167.367,1500
497.35555,20100.732,1000
497.4760,20095.87,500
497.5961,20091.01,100
497.9625,20076.23,50
499.49300,20014.717,1500
499.6209,20009.59,20
499.7482,20004.50,150
499.8502,20000.41,100
500.0395,19992.84,30
500.3561,19980.19,20
500.51587,19973.8149,5000
500.53467,19973.065,500
501.10030,19950.520,250
501.5187,19933.88,50
502.28700,19903.386,250
503.13484,19869.847,2500
503.15087,19869.213,20
503.60016,19851.487,350
503.75927,19845.217,30
503.77512,19844.5930,5000
504.1598,19829.45,10
504.2853,19824.52,150
504.5816,19812.88,150
504.6608,19809.77,30
505.29443,19784.925,250
505.9150,19760.66,20
507.40459,19702.646,30
507.42007,19702.0452,350
507.65971,19692.745,350
507.87693,19684.322,150
508.03830,19678.070,1500
508.1360,19674.29,150
508.39773,19664.158,250
509.0321,19639.65,80
509.90522,19606.024,250
510.47011,19584.3277,350
511.36724,19549.9698,750
511.65032,19539.1536,1500
511.70246,19537.163,350
512.05059,19523.880,250
512.1866,19518.70,20
512.22565,19517.2075,1500
512.23613,19516.808,1500
512.8280,19494.28,20
514.3265,19437.49,50
514.49384,19431.1653,5000
514.5011,19430.89,5000
514.51351,19430.422,350
515.00842,19411.751,350
515.19610,19404.6792,750
515.44271,19395.3953,500
515.66672,19386.9698,500
515.89018,19378.5724,500
516.34847,19361.373,100
518.2320,19291.00,20
518.86122,19267.6105,1500
519.13223,19257.5521,350
519.31251,19250.867,1500
519.32240,19250.500,1500
520.38962,19211.0217,1500
520.6565,19201.17,30
520.88648,19192.6970,700
521.05672,19186.4264,500
521.43389,19172.5484,350
522.23517,19143.1318,500
523.40271,19100.4303,500
527.40393,18955.5240,400
528.00853,18933.8191,500
529.81891,18869.1234,1500
530.47580,18845.7580,700
531.47851,18810.203,300
531.68046,18803.059,250
532.0550,18789.82,20
532.63960,18769.200,750
533.06720,18754.144,5
533.07775,18753.7730,6000
533.33083,18744.874,500
533.5710,18736.44,100
534.10938,18717.5506,10000
534.2700,18711.92,10
534.30048,18710.856,100
534.32834,18709.8805,6000
534.92038,18689.1730,1500
535.3513,18674.13,50
535.51640,18668.372,1500
535.53394,18667.761,50
535.54236,18667.468,1500
535.8020,18658.42,100
536.00121,18651.4872,1500
536.04271,18650.043,350
536.22334,18643.761,250
536.62169,18629.921,250
537.23110,18608.7886,750
537.49750,18599.566,500
538.32457,18570.990,250
540.05616,18511.4462,20000
541.012,18478.74,50
541.26490,18470.1074,2500
541.85584,18449.9644,1500
542.0155,18444.53,500
543.36513,18398.7170,2500
544.7120,18353.22,80
544.85091,18348.5452,1500
549.44158,18195.2419,500
550.73442,18152.529,250
551.1176,18139.91,30
551.1485,18138.89,150
552.063,18108.84,30
553.36788,18066.1430,750
553.86510,18049.9246,500
555.90978,17983.536,350
556.24416,17972.726,1500
556.27662,17971.6771,5000
556.30531,17970.750,750
557.60394,17928.898,350
558.5905,17897.23,50
558.93472,17886.211,500
559.115,17880.44,80
565.25664,17686.1707,750
565.60258,17675.353,750
565.66588,17673.3755,5000
566.25489,17654.9921,750
568.4647,17586.36,250
568.98163,17570.3846,1500
571.53409,17491.916,350
571.88798,17481.092,1500
571.92248,17480.0379,5000
571.95300,17479.105,750
574.82985,17391.6283,5000
574.86446,17390.581,700
576.05885,17354.5243,700
576.40525,17344.095,30
576.44188,17342.9928,7000
577.03067,17325.297,500
580.40900,17224.454,750
580.44496,17223.3868,5000
581.14066,17202.7684,3000
581.66219,17187.344,500
582.01558,17176.9084,5000
582.89063,17151.122,750
585.24878,17082.0157,20000
586.84165,17035.650,750
587.21450,17024.834,750
587.28275,17022.8551,5000
588.18950,16996.6130,10000
589.83287,16949.258,200
590.20944,16938.444,30
590.24623,16937.3883,500
590.27835,16936.4667,50
590.64294,16926.0123,500
591.36330,16905.394,2500
591.89068,16890.3316,2500
591.90290,16889.983,80
593.44522,16846.088,750
593.93154,16832.294,500
594.48340,16816.6685,5000
596.16228,16769.3107,700
596.54710,16758.4933,5000
596.61790,16756.505,350
597.46273,16732.8106,5000
597.55343,16730.2709,6000
598.23753,16711.140,80
598.79074,16695.7006,1500
599.16477,16685.278,750
600.09275,16659.4766,1000
602.99968,16579.1656,10000
604.2013,16546.19,150
604.61348,16534.9138,500
606.45359,16484.7438,500
607.43376,16458.1438,10000
609.61630,16399.2211,3000
611.80187,16340.638,150
612.84498,16312.8251,1000
614.2508,16275.49,1000
614.30627,16274.0210,10000
615.02985,16254.875,1000
615.61380,16239.456,500
616.35937,16219.8125,10000
617.28156,16195.581,150
617.48829,16190.1590,700
617.52842,16189.107,500
618.21460,16171.1381,1500
618.31575,16168.493,50
618.90649,16153.0602,700
619.30663,16142.6236,500
620.29740,16116.840,150
620.57775,16109.5592,1000
621.38758,16088.5644,1500
621.72812,16079.7523,10000
622.57350,16057.918,500
