"Index","DMM-1 Time (s)","DMM-1 Voltage (V)"
"1","0.0004605","0.00961842667"
"2","0.0770867","0.0099580409"
"3","0.0967631","0.00996765773"
"4","0.1167411","0.00993099249"
"5","0.1365231","0.0108277257"
"6","0.2524782","0.0108559606"
"7","0.2724938","0.010841907"
"8","0.2925488","0.0109115773"
"9","0.3126968","0.0109204584"
"10","0.3337964","0.01103721"
"11","0.3549342","0.0112138614"
"12","0.3759836","0.0113464314"
"13","0.3966677","0.0113293696"
"14","0.4175884","0.0116656944"
"15","0.4384807","0.0122090708"
"16","0.5113041","0.0121877091"
"17","0.5533159","0.0122118545"
"18","0.5961765","0.0125923287"
"19","0.6167391","0.012629793"
"20","0.6374396","0.0127316126"
"21","0.6587697","0.0130633413"
"22","0.6790579","0.0130443405"
"23","0.699627","0.0130553301"
"24","0.7202302","0.0132023235"
"25","0.7408839","0.013223824"
"26","0.7622179","0.0133035974"
"27","0.783799","0.0134891849"
"28","0.8042996","0.0135231502"
"29","0.8251287","0.0135166523"
"30","0.8458316","0.0134363723"
"31","0.8669924","0.0134616121"
"32","0.8884183","0.0135081112"
"33","0.9098837","0.0135080218"
"34","0.9301069","0.0135380309"
"35","0.951046","0.0135183827"
"36","0.9726589","0.013545853"
"37","0.9938975","0.0135305533"
"38","1.01402","0.0135278999"
"39","1.034413","0.013545894"
"40","1.0555564","0.013514189"
"41","1.0766847","0.0135148474"
"42","1.0969129","0.0135278003"
"43","1.1179083","0.0135437967"
"44","1.1382187","0.0135300308"
"45","1.1578096","0.0135313514"
"46","1.1785866","0.0135523909"
"47","1.1988837","0.0135480118"
"48","1.2200738","0.0135187581"
"49","1.2405378","0.0135347088"
"50","1.2619743","0.0136827807"
"51","1.2819195","0.0137546816"
"52","1.3025204","0.013880073"
"53","1.323501","0.0139579512"
"54","1.3445828","0.0139678195"
"55","1.3656648","0.0139797683"
"56","1.3853958","0.0139950746"
"57","1.4056792","0.0139770237"
"58","1.4262824","0.0140802608"
"59","1.4464849","0.0143407648"
"60","1.46758","0.0144090065"
"61","1.4882119","0.0143909268"
"62","1.5093425","0.0148129221"
"63","1.5304737","0.014891792"
"64","1.5516223","0.0152980471"
"65","1.5721506","0.0152941197"
"66","1.5933254","0.0152477594"
"67","1.61375","0.0152825266"
"68","1.6347969","0.0155702168"
"69","1.654869","0.0156989805"
"70","1.6748083","0.0160497967"
"71","1.6951023","0.0161950774"
"72","1.7155113","0.0165009014"
"73","1.736568","0.0165503285"
"74","1.7569884","0.0165686868"
"75","1.7775893","0.0165610443"
"76","1.7980325","0.0168258268"
"77","1.8191918","0.0169826187"
"78","1.8403003","0.0169784221"
"79","1.861377","0.0169562548"
"80","1.8816644","0.0169756878"
"81","1.9022042","0.017145222"
"82","1.9231539","0.0172807797"
"83","1.9438945","0.0172887444"
"84","1.9641169","0.0174578316"
"85","1.9843988","0.0174805615"
"86","2.0052244","0.0174661986"
"87","2.0258765","0.0174453984"
"88","2.0466002","0.0174551252"
"89","2.0676314","0.0174457803"
"90","2.0881212","0.017452009"
"91","2.108438","0.0174583438"
"92","2.1290414","0.0177268739"
"93","2.1497658","0.0179287251"
"94","2.1709399","0.0179344806"
"95","2.1919167","0.0179438591"
"96","2.2125045","0.0179348997"
"97","2.2333956","0.017922163"
"98","2.2538778","0.0179223306"
"99","2.274787","0.01791724"
"100","2.2957381","0.0180491674"
"101","2.316543","0.0181703846"
"102","2.3366636","0.0182184483"
"103","2.3564638","0.0182236079"
"104","2.3769344","0.0181176178"
"105","2.3978168","0.0180841591"
"106","2.4176772","0.0179064497"
"107","2.4380443","0.0178872812"
"108","2.4585462","0.017899828"
"109","2.4794622","0.0179041326"
"110","2.5000851","0.0179210342"
"111","2.5211146","0.017911572"
"112","2.5405778","0.0179076436"
"113","2.5610308","0.0178968757"
"114","2.5812717","0.0178977753"
"115","2.6014847","0.0179241392"
"116","2.6443404","0.0178645811"
"117","2.6867464","0.0178499724"
"118","2.7073886","0.0178333241"
"119","2.7274931","0.0178711842"
"120","2.7489052","0.0174850318"
"121","2.7696089","0.0170153602"
"122","2.7908167","0.0169994961"
"123","2.8113796","0.0166234653"
"124","2.8307563","0.0165436826"
"125","2.8519237","0.0165290609"
"126","2.8726907","0.0165172182"
"127","2.893797","0.0163598209"
"128","2.9138194","0.0161572583"
"129","2.9349212","0.0161448027"
"130","2.9551283","0.0159297287"
"131","2.9753318","0.0157615561"
"132","2.9958777","0.0157026853"
"133","3.0173538","0.0156748313"
"134","3.0380287","0.0156981293"
"135","3.0590383","0.0156352072"
"136","3.0804532","0.0155019303"
"137","3.1003894","0.0153842614"
"138","3.1204214","0.0153050124"
"139","3.1421571","0.0152698112"
"140","3.1634077","0.0152901588"
"141","3.1832893","0.0152971707"
"142","3.2035186","0.0152593245"
"143","3.2239719","0.0152585841"
"144","3.2446594","0.0152450585"
"145","3.2656066","0.0152385551"
"146","3.2869076","0.0150319496"
"147","3.3084672","0.0148803992"
"148","3.3289879","0.0148312179"
"149","3.3490445","0.0148262316"
"150","3.3698573","0.0148389758"
"151","3.3902821","0.0148635022"
"152","3.410891","0.0146415326"
"153","3.4309684","0.0145138325"
"154","3.4525051","0.0143661079"
"155","3.4727252","0.0143171725"
"156","3.4930295","0.0142691312"
"157","3.5134276","0.0140915298"
"158","3.5340569","0.0138830663"
"159","3.5560753","0.0136222271"
"160","3.576578","0.0135376714"
"161","3.597959","0.0135567337"
"162","3.6189096","0.0135370735"
"163","3.6402341","0.0135542694"
"164","3.6610193","0.013530842"
"165","3.6812953","0.013524061"
"166","3.7015356","0.0135070718"
"167","3.722059","0.0135116335"
"168","3.7426333","0.0136014875"
"169","3.7631566","0.0136498082"
"170","3.7840916","0.0135959889"
"171","3.8055332","0.0135845039"
"172","3.8259118","0.0134970461"
"173","3.8470562","0.0135274762"
"174","3.8680391","0.0135312471"
"175","3.8889274","0.0135448202"
"176","3.9099756","0.0135451937"
"177","3.9302232","0.0135258808"
"178","3.9507266","0.0135372867"
"179","3.9714104","0.0135148437"
"180","3.9925063","0.0135047314"
"181","4.0131864","0.0134635372"
"182","4.0344599","0.0131737655"
"183","4.0549669","0.0130716124"
"184","4.0749592","0.0130946859"
"185","4.0957092","0.0129055064"
"186","4.1159856","0.0124645885"
"187","4.1366467","0.012188646"
"188","4.1571876","0.0121951568"
"189","4.1781118","0.0122090848"
"190","4.1983316","0.0119621353"
"191","4.2186175","0.011793998"
"192","4.2387885","0.0118034873"
"193","4.2604217","0.0113938003"
"194","4.2805699","0.0112931504"
"195","4.3013974","0.011140963"
"196","4.3214796","0.011022198"
"197","4.3422571","0.0109967356"
"198","4.3633965","0.0109774088"
"199","4.3840612","0.0110006472"
"200","4.4053932","0.0109802559"
"201","4.4265146","0.0109916599"
"202","4.4472953","0.011002954"
"203","4.468398","0.0110159004"
"204","4.4899702","0.0109900366"
"205","4.5112401","0.0110015515"
"206","4.5314109","0.0109984166"
"207","4.5526359","0.0110112838"
"208","4.5725972","0.0109951728"
"209","4.5932942","0.01099471"
"210","4.6141791","0.0111364675"
"211","4.6353801","0.0112860854"
"212","4.656126","0.0113383457"
"213","4.6771572","0.0113838445"
"214","4.6977437","0.0113742612"
"215","4.7404371","0.0113470591"
"216","4.7832942","0.0113351941"
"217","4.8044923","0.0113216573"
"218","4.8245844","0.0112099144"
"219","4.8458529","0.0111117474"
"220","4.8659035","0.0109675712"
"221","4.8870085","0.0109734348"
"222","4.9075329","0.0109621165"
"223","4.9294838","0.0109814768"
"224","4.9494268","0.0109669612"
"225","4.9713397","0.0109839774"
"226","4.9917629","0.0110043352"
"227","5.012947","0.011007105"
"228","5.0327949","0.010979712"
"229","5.0535562","0.0109766582"
"230","5.0740434","0.0109116612"
"231","5.094901","0.0109088132"
"232","5.115927","0.0109109003"
"233","5.1357475","0.0109258033"
"234","5.1570915","0.0109560089"
"235","5.1774296","0.0109074125"
"236","5.198031","0.0108862519"
"237","5.219207","0.0108827808"
"238","5.2403783","0.0108739295"
"239","5.2611311","0.0108743775"
"240","5.2826549","0.0108759701"
"241","5.3033007","0.0108950221"
"242","5.324483","0.0109067847"
"243","5.3454299","0.0109008084"
"244","5.3663677","0.0109143275"
"245","5.3871525","0.0110499523"
"246","5.4071803","0.0110594732"
"247","5.4286835","0.0110997511"
"248","5.4505146","0.0111939366"
"249","5.4717259","0.0111416"
"250","5.4926217","0.0110022146"
"251","5.5140845","0.0108876358"
"252","5.5348387","0.0108768399"
"253","5.5558658","0.0110817896"
"254","5.5761741","0.0112190544"
"255","5.597484","0.0112767713"
"256","5.6187539","0.0113817797"
"257","5.6405405","0.0117229558"
"258","5.6617133","0.0117202196"
"259","5.6817353","0.011856934"
"260","5.7026169","0.0121586062"
"261","5.7238325","0.0121530089"
"262","5.7448539","0.0121673736"
"263","5.7649481","0.0121621955"
"264","5.7856357","0.0121547626"
"265","5.8069201","0.0124721992"
"266","5.8281408","0.0126035846"
"267","5.8495448","0.0127067444"
"268","5.8706453","0.0130165806"
"269","5.8925011","0.0131320022"
"270","5.9139352","0.0134116187"
"271","5.9348641","0.0134517718"
"272","5.955628","0.0134281823"
"273","5.9770526","0.0134437298"
"274","5.9973042","0.0134932054"
"275","6.0181008","0.013759897"
"276","6.0393589","0.0138765722"
"277","6.0605277","0.0140425739"
"278","6.081242","0.0143110817"
"279","6.1027227","0.0143830254"
"280","6.1234884","0.0147466482"
"281","6.1445673","0.0148137593"
"282","6.1658563","0.0151249999"
"283","6.1866305","0.0152328619"
"284","6.2078516","0.0152337364"
"285","6.2292245","0.0152526171"
"286","6.2497738","0.0153784183"
"287","6.2713714","0.0156665164"
"288","6.2927554","0.0156515873"
"289","6.3138151","0.0157593805"
"290","6.3343164","0.0160340517"
"291","6.3554825","0.0162110123"
"292","6.376774","0.0162059329"
"293","6.3971698","0.016293941"
"294","6.4176346","0.0165906585"
"295","6.4388933","0.0165523886"
"296","6.4600653","0.0166654549"
"297","6.4809468","0.0169231314"
"298","6.5017443","0.0169308595"
"299","6.5224327","0.0170570779"
"300","6.5430517","0.0174153149"
"301","6.5643315","0.0174594968"
"302","6.5851227","0.0174390468"
"303","6.6063649","0.0175313968"
"304","6.6272962","0.0176679324"
"305","6.6482709","0.0179023966"
"306","6.6698518","0.0178819503"
"307","6.691007","0.0178973563"
"308","6.7119058","0.017850751"
"309","6.733713","0.0178799089"
"310","6.7545059","0.0179314818"
"311","6.7753948","0.0178959518"
"312","6.796717","0.0178988892"
"313","6.8394478","0.0179082136"
"314","6.8596821","0.0178884919"
"315","6.8803244","0.0178488083"
"316","6.9010771","0.0178643949"
"317","6.9230854","0.0179195459"
"318","6.9439386","0.018064931"
"319","6.9645744","0.0181656349"
"320","6.9858281","0.0180838517"
"321","7.007086","0.017953556"
"322","7.0280372","0.0178530998"
"323","7.0494376","0.0178674757"
"324","7.0705714","0.0178468134"
"325","7.0918","0.0178308598"
"326","7.111713","0.0178864765"
"327","7.132648","0.0178983658"
"328","7.1535302","0.0179175268"
"329","7.174364","0.0180953443"
"330","7.1961486","0.0182793643"
"331","7.21654","0.0182594917"
"332","7.2374451","0.0182189904"
"333","7.2586737","0.0183890834"
"334","7.2799238","0.0184943284"
"335","7.3005944","0.018617168"
"336","7.3218224","0.0186423882"
"337","7.3417328","0.0186667032"
"338","7.362918","0.0186662226"
"339","7.3834843","0.0186063274"
"340","7.4047737","0.0185082275"
"341","7.4254731","0.0186558831"
"342","7.4465028","0.0187060609"
"343","7.4666556","0.0187314115"
"344","7.487877","0.0187628399"
"345","7.5087814","0.0187514461"
"346","7.529905","0.0187541581"
"347","7.5507716","0.0187344979"
"348","7.5722692","0.0187514647"
"349","7.59298","0.0187959913"
"350","7.6141338","0.0189659465"
"351","7.6348843","0.019022841"
"352","7.6561098","0.0191276986"
"353","7.6769396","0.0191563516"
"354","7.6984665","0.0191076323"
"355","7.7197293","0.018997373"
"356","7.7409906","0.0190922822"
"357","7.7622363","0.0191330276"
"358","7.782878","0.0191038753"
"359","7.8040593","0.0191253945"
"360","7.8254821","0.0190897043"
"361","7.8461766","0.0190409496"
"362","7.8678713","0.0190180484"
"363","7.8889701","0.0191181674"
"364","7.9095699","0.0191306043"
"365","7.9306607","0.01914981"
"366","7.9514795","0.0191396083"
"367","7.9726231","0.0187511853"
"368","7.993155","0.0187998916"
"369","8.0140613","0.018964203"
"370","8.0347422","0.0191296003"
"371","8.0556821","0.0191723089"
"372","8.0767754","0.0191211104"
"373","8.0987335","0.0191044732"
"374","8.1196316","0.0191106852"
"375","8.1408561","0.0191378537"
"376","8.162159","0.0192459821"
"377","8.1839826","0.019342266"
"378","8.2053175","0.0193392541"
"379","8.2265303","0.0193315632"
"380","8.2475454","0.0193330328"
"381","8.2681643","0.0193485952"
"382","8.2893757","0.0192277263"
"383","8.3108839","0.0192655734"
"384","8.3308619","0.0193308237"
"385","8.3513994","0.0193796474"
"386","8.3726801","0.0191868524"
"387","8.3928638","0.0189593173"
"388","8.4135469","0.0188926719"
"389","8.4342601","0.0187711752"
"390","8.455038","0.0187381189"
