"Index","DMM-1 Time (s)","DMM-1 Voltage (V)"
"1","0.0001337","0.129258245"
"2","0.0736798","0.12963289"
"3","0.0935155","0.129780337"
"4","0.1136885","0.129955068"
"5","0.1343352","0.130286946"
"6","0.1561713","0.130661591"
"7","0.1774971","0.131085529"
"8","0.1981935","0.131457284"
"9","0.2183272","0.131549492"
"10","0.238527","0.131731808"
"11","0.2583901","0.132910847"
"12","0.3321616","0.133570283"
"13","0.3744761","0.134221896"
"14","0.4162368","0.134252756"
"15","0.4368959","0.134682238"
"16","0.4574436","0.13501133"
"17","0.4779727","0.135380834"
"18","0.4989401","0.135781303"
"19","0.5189197","0.135802537"
"20","0.5396596","0.136218488"
"21","0.5608172","0.136694014"
"22","0.5816167","0.137125641"
"23","0.6031176","0.137091696"
"24","0.6233873","0.137436956"
"25","0.644501","0.137799665"
"26","0.6651836","0.138018652"
"27","0.6863672","0.138372927"
"28","0.7057932","0.138393014"
"29","0.7265228","0.138845592"
"30","0.7475588","0.139391839"
"31","0.7683217","0.139828577"
"32","0.7897284","0.140137925"
"33","0.8111201","0.140366986"
"34","0.8324222","0.140701949"
"35","0.8535599","0.141154214"
"36","0.8744476","0.141549065"
"37","0.8937354","0.141826584"
"38","0.9143908","0.142370939"
"39","0.9355241","0.142778337"
"40","0.955914","0.143097102"
"41","0.9769301","0.143697783"
"42","0.9980018","0.144343867"
"43","1.0197286","0.144659832"
"44","1.0401756","0.145235061"
"45","1.0612838","0.145882114"
"46","1.0819485","0.146143987"
"47","1.1032664","0.146708697"
"48","1.1244801","0.14726828"
"49","1.1455426","0.147703304"
"50","1.1667543","0.14799197"
"51","1.1879599","0.148657903"
"52","1.2086183","0.149001315"
"53","1.2297529","0.149527162"
"54","1.250379","0.150124609"
"55","1.2703046","0.150593072"
"56","1.2911569","0.151349484"
"57","1.3126056","0.151909887"
"58","1.3345978","0.152344703"
"59","1.3550207","0.152980268"
"60","1.3755106","0.153344407"
"61","1.3961644","0.153903439"
"62","1.418193","0.154531002"
"63","1.4394084","0.154615268"
"64","1.4603561","0.154909133"
"65","1.4811224","0.155500099"
"66","1.5016954","0.156032875"
"67","1.5221908","0.15629296"
"68","1.5424511","0.156637102"
"69","1.5622036","0.157008588"
"70","1.5832762","0.157563224"
"71","1.6049357","0.157776683"
"72","1.6257136","0.158478319"
"73","1.646666","0.158801108"
"74","1.6676225","0.159417167"
"75","1.6886126","0.160288542"
"76","1.7104361","0.160825103"
"77","1.7312632","0.161611467"
"78","1.7525642","0.162042438"
"79","1.7732937","0.162753388"
"80","1.794521","0.163334622"
"81","1.8154613","0.164190694"
"82","1.8367202","0.16485165"
"83","1.8579987","0.165446937"
"84","1.878719","0.166130334"
"85","1.8994125","0.166510164"
"86","1.9205108","0.167112514"
"87","1.9424594","0.167735055"
"88","1.9638708","0.168360278"
"89","1.9842302","0.168955251"
"90","2.0053882","0.169380933"
"91","2.0260283","0.170192435"
"92","2.0466094","0.170534431"
"93","2.0674598","0.171380236"
"94","2.0886824","0.172044783"
"95","2.109241","0.17263785"
"96","2.1303669","0.17333211"
"97","2.151209","0.173793822"
"98","2.1724879","0.174603298"
"99","2.1932768","0.175087019"
"100","2.2143438","0.175809144"
"101","2.2351895","0.176534071"
"102","2.2551104","0.177306011"
"103","2.2748463","0.177892073"
"104","2.2959837","0.178805395"
"105","2.3166455","0.17932941"
"106","2.3379154","0.180341392"
"107","2.3583461","0.180979654"
"108","2.3792231","0.181928768"
"109","2.3996172","0.182337075"
"110","2.420418","0.183977156"
"111","2.4635479","0.185266047"
"112","2.5044516","0.185899659"
"113","2.5248482","0.186502829"
"114","2.5454936","0.187216788"
"115","2.5664129","0.188125208"
"116","2.587309","0.188618361"
"117","2.6092839","0.189436092"
"118","2.6303287","0.190160274"
"119","2.6506156","0.190838828"
"120","2.6706633","0.191753476"
"121","2.6922073","0.192556545"
"122","2.7128378","0.193435162"
"123","2.7336504","0.194056287"
"124","2.7544297","0.195358365"
"125","2.7746169","0.195932701"
"126","2.7959563","0.196979999"
"127","2.8166104","0.197415515"
"128","2.8379614","0.198294505"
"129","2.8582791","0.198783859"
"130","2.8796132","0.199655801"
"131","2.9009159","0.200218066"
"132","2.921588","0.201196596"
"133","2.9416502","0.201745674"
"134","2.9625418","0.202600196"
"135","2.9828824","0.203019291"
"136","3.0036145","0.203944399"
"137","3.0236193","0.204561978"
"138","3.0447399","0.205412521"
"139","3.0653375","0.206029146"
"140","3.0860834","0.206835597"
"141","3.1061305","0.207282304"
"142","3.1266919","0.208157211"
"143","3.1475125","0.208824798"
"144","3.1674685","0.209339141"
"145","3.1883345","0.210034385"
"146","3.2092034","0.210553467"
"147","3.2302714","0.21129401"
"148","3.2515416","0.211924061"
"149","3.2727783","0.212895423"
"150","3.2932314","0.213343903"
"151","3.3139569","0.214190259"
"152","3.3356278","0.21480301"
"153","3.356202","0.21564345"
"154","3.3759296","0.21632716"
"155","3.3970047","0.217239126"
"156","3.4185442","0.217977598"
"157","3.4392217","0.218721851"
"158","3.4595685","0.219558328"
"159","3.4809529","0.22035472"
"160","3.5017034","0.221114948"
"161","3.5218166","0.221806854"
"162","3.5425941","0.22254686"
"163","3.5632952","0.223098263"
"164","3.5845092","0.224251136"
"165","3.6057987","0.224879086"
"166","3.6266861","0.225697875"
"167","3.6474666","0.226502522"
"168","3.6683484","0.227284863"
"169","3.6891339","0.228299126"
"170","3.7100443","0.22898516"
"171","3.7312303","0.229998618"
"172","3.752029","0.230673998"
"173","3.7717726","0.231460377"
"174","3.7925929","0.232264429"
"175","3.8139564","0.233111426"
"176","3.8351285","0.233774438"
"177","3.8562929","0.234514206"
"178","3.8771091","0.235378041"
"179","3.8983117","0.236093372"
"180","3.9201753","0.237563699"
"181","3.9415133","0.23816505"
"182","3.9622485","0.238878011"
"183","3.9841521","0.239590257"
"184","4.0053627","0.240467593"
"185","4.0259446","0.241128504"
"186","4.0471225","0.241950035"
"187","4.067277","0.242825195"
"188","4.0882074","0.243549332"
"189","4.1092327","0.244586065"
"190","4.1299293","0.245134219"
"191","4.1515163","0.246123775"
"192","4.1726665","0.246819347"
"193","4.1932295","0.247615128"
"194","4.2142482","0.248449876"
"195","4.2349083","0.24919404"
"196","4.2545808","0.250036299"
"197","4.2751278","0.25071612"
"198","4.2963064","0.251512825"
"199","4.3179741","0.252155035"
"200","4.3394849","0.253132402"
"201","4.3601541","0.253789275"
"202","4.3813339","0.254651993"
"203","4.4023462","0.25526297"
"204","4.4227832","0.256365835"
"205","4.4433933","0.257102876"
"206","4.4648568","0.258057355"
"207","4.4855044","0.258885532"
"208","4.5069364","0.260833829"
"209","4.549276","0.262386947"
"210","4.5918973","0.263405889"
"211","4.6129537","0.264385908"
"212","4.6342487","0.265299379"
"213","4.6550134","0.266251385"
"214","4.6760531","0.267008513"
"215","4.6966497","0.26786071"
"216","4.718321","0.268798261"
"217","4.7389642","0.269646853"
"218","4.7596248","0.270574271"
"219","4.7806","0.271366596"
"220","4.800471","0.272318512"
"221","4.8215997","0.272940993"
"222","4.8423981","0.273931354"
"223","4.8629771","0.274628847"
"224","4.8842789","0.275407433"
"225","4.905442","0.276444524"
"226","4.9261616","0.277119249"
"227","4.9472235","0.277961045"
"228","4.9680661","0.278597027"
"229","4.9880855","0.279390871"
"230","5.0087361","0.280182093"
"231","5.0295966","0.281017154"
"232","5.0509005","0.281695008"
"233","5.072045","0.282420426"
"234","5.0929352","0.283186793"
"235","5.1137639","0.283802807"
"236","5.1342389","0.28466624"
"237","5.1553564","0.285437792"
"238","5.1749975","0.286130279"
"239","5.1960995","0.286794334"
"240","5.2173865","0.287774652"
"241","5.2380561","0.288359105"
"242","5.2593117","0.289385974"
"243","5.2803915","0.290016025"
"244","5.3016634","0.290685385"
"245","5.3229852","0.29141137"
"246","5.3436793","0.292572319"
